category,url,image
"Logística, Montagem e Transportes",https://2wenergia.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/2W_LOGO.png
"Logística, Montagem e Transportes",https://aliancaenergia.com.br/br/,https://abeeolica.org.br/wp-content/uploads/2022/03/ALIANCA.jpg
"Logística, Montagem e Transportes",https://www.lamiflexcouplings.com/pt-BR/,https://abeeolica.org.br/wp-content/uploads/2022/03/Altra.jpg
"Logística, Montagem e Transportes",https://www.atiaiarenovaveis.com.br/pt,https://abeeolica.org.br/wp-content/uploads/2022/03/AF-Atiaia_positivabranco_horiz.jpg
"Logística, Montagem e Transportes",https://abeeolica.org.br/wp-content/uploads/2021/07/Atlas-for-light-background.jpg,https://abeeolica.org.br/wp-content/uploads/2022/03/Atlas-for-light-background.jpg
"Logística, Montagem e Transportes",https://www.cemig.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/logo_cemig.png
"Logística, Montagem e Transportes",https://www.linkedin.com/company/cer---companhia-de-energias-renov%C3%A1veis/about/,https://abeeolica.org.br/wp-content/uploads/2022/03/CER-Energia-1.png
"Logística, Montagem e Transportes",https://abeeolica.org.br/wp-content/uploads/2016/08/CGN_Logotipo.png,https://abeeolica.org.br/wp-content/uploads/2022/03/CGN_Logotipo.png
"Logística, Montagem e Transportes",https://abeeolica.org.br/wp-content/uploads/2018/01/Logo-Comerc-Energia.jpg,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo-Comerc-Energia.jpg
"Logística, Montagem e Transportes",https://www.agaspar.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Construtora-A-Gaspar.jpg
"Logística, Montagem e Transportes",http://ctgbr.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/CTG-Brasil_logo.jpg
"Logística, Montagem e Transportes",http://www.distribui.com.br/site/,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo-DISTRIBUI.jpg
"Logística, Montagem e Transportes",https://www.echoenergia.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Echoenergia.png
"Logística, Montagem e Transportes",https://eletrobras.com/pt/Paginas/home.aspx,https://abeeolica.org.br/wp-content/uploads/2022/03/Eletrobras.jpg
"Logística, Montagem e Transportes",https://www.enelgreenpower.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Enel-Green-Power.png
"Logística, Montagem e Transportes",http://www.eneva.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/05/ENEVA_ver_rgb.png
"Logística, Montagem e Transportes",http://www.engebasa.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/LogoEngebasa.jpg
"Logística, Montagem e Transportes",https://www.equinor.com.br/pt.html,https://abeeolica.org.br/wp-content/uploads/2022/03/Equinor.jpg
"Logística, Montagem e Transportes",http://www.ferbasa.com.br/default_pti.asp?idioma=0&conta=45,https://abeeolica.org.br/wp-content/uploads/2022/03/Ferbasa.png
"Logística, Montagem e Transportes",https://ibituenergia.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/IBITU_antiga-Queiroz-Galvao.png
"Logística, Montagem e Transportes",https://www.matrixenergia.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Matrix.jpg
"Logística, Montagem e Transportes",https://www.mts.com/br,https://abeeolica.org.br/wp-content/uploads/2022/03/MTS.jpg
"Logística, Montagem e Transportes",https://www.neoenergia.com/pt-br/Paginas/default.aspx,https://abeeolica.org.br/wp-content/uploads/2022/03/NEOENERGIA-VER-POS-CMYK.png
"Logística, Montagem e Transportes",http://www.newwind.com.br/breve/,https://abeeolica.org.br/wp-content/uploads/2022/06/NEW-WIND.jpg
"Logística, Montagem e Transportes",https://orsted.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/OrstedLogoPNG.png
"Logística, Montagem e Transportes",https://proaltitude.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Proaltitude.png
"Logística, Montagem e Transportes",https://www.prumologistica.com.br/pt/,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo-Prumo.jpg
"Logística, Montagem e Transportes",https://www.qair.energy/pt/,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo-Qair-Brasil.jpg
"Logística, Montagem e Transportes",https://www.shell.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Shell_jan2013_PECTEN_RGB_DIGITAL.png
"Logística, Montagem e Transportes",http://www.gamesacorp.com/es/,https://abeeolica.org.br/wp-content/uploads/2022/03/SIEMENS-GAMESA.jpg
"Logística, Montagem e Transportes",https://www.skf.com/br,https://abeeolica.org.br/wp-content/uploads/2022/03/SKF-corp-logo-rgb-office-R.png
"Logística, Montagem e Transportes",https://br.sodexo.com/home.html,https://abeeolica.org.br/wp-content/uploads/2022/03/Utilizado-para-materiais-internos-para-colaboradores.png
"Logística, Montagem e Transportes",https://www.subsea7.com/en/index.html,https://abeeolica.org.br/wp-content/uploads/2022/03/Subsea7_SEM-FUNDO-01.png
"Logística, Montagem e Transportes",https://www.total-eren.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Total-Eren.jpg
"Logística, Montagem e Transportes",http://www.villaempreendimentos.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/logo-villa.jpg
"Logística, Montagem e Transportes",https://www.wartsila.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Screen-Shot-07-01-21-at-04.21-PM.png
"Logística, Montagem e Transportes",http://xcelinspection.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo-XL-Hi-Res.png
"Logística, Montagem e Transportes",https://www.yokogawa.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Yokogawa.jpg
"Logística, Montagem e Transportes",https://www.hitachienergy.com/,https://abeeolica.org.br/wp-content/uploads/2022/05/NEW_CSlogo_lockup_FINAL_Feb28_22.jpg
"Logística, Montagem e Transportes",https://www.acciona.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/8.Acciona.png
"Logística, Montagem e Transportes",https://www.aerisenergy.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/9.Aeris_.png
"Logística, Montagem e Transportes",https://www.aesbrasil.com.br/Paginas/Default.aspx,https://abeeolica.org.br/wp-content/uploads/2022/03/AES_BrasilLogo_InlineS-RGB.png
"Logística, Montagem e Transportes",http://www.alupar.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/15.-Alupar.png
"Logística, Montagem e Transportes",http://arthwind.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/LogoVertical-Azul-PT.png
"Logística, Montagem e Transportes",https://www.barloventorecursos.com/pt-br/sedes/BR,https://abeeolica.org.br/wp-content/uploads/2022/03/17.Barlovento.png
"Logística, Montagem e Transportes",https://www.master-builders-solutions.com/pt-br,https://abeeolica.org.br/wp-content/uploads/2022/03/MBS_Logo_RGB_pos.jpg
"Logística, Montagem e Transportes",https://belgobekaert.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/19.Belgo_Bekaert.png
"Logística, Montagem e Transportes",http://www.brennandenergia.com.br/site/index.php?c=1,https://abeeolica.org.br/wp-content/uploads/2022/03/22.Brennand.png
"Logística, Montagem e Transportes",https://www.briskcom.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Brisckom.png
"Logística, Montagem e Transportes",http://www.camargoschubert.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/25.Camargo_Schubbert.png
"Logística, Montagem e Transportes",https://www.casadosventos.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/2.Casa_dos_ventos.png
"Logística, Montagem e Transportes",https://www.chesf.gov.br/Pages/default.aspx,https://abeeolica.org.br/wp-content/uploads/2022/03/CHESF.jpg
"Logística, Montagem e Transportes",https://cipartners.dk/,https://abeeolica.org.br/wp-content/uploads/2022/05/Cip1-final-logo-blue-1.png
"Logística, Montagem e Transportes",https://www.contourglobal.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/6.Contour_Global.png
"Logística, Montagem e Transportes",https://www.copel.com/site/,https://abeeolica.org.br/wp-content/uploads/2022/03/83.Copel_.png
"Logística, Montagem e Transportes",http://www.cpflrenovaveis.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/20.CPFL_Renovaveis.png
"Logística, Montagem e Transportes",https://www.cubicoinvest.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/61.Cubico.png
"Logística, Montagem e Transportes",https://www.dnv.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/27.DNV_GL.png
"Logística, Montagem e Transportes",http://doisa.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/28.DoisA_Eng.png
"Logística, Montagem e Transportes",https://www.deme-group.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Dragabras.png
"Logística, Montagem e Transportes",https://www.linkedin.com/company/edf-renewables-am%C3%A9rica-latina/,https://abeeolica.org.br/wp-content/uploads/2022/03/EDF-RENEWABLES.png
"Logística, Montagem e Transportes",https://www.edpr.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/32.EDP_.png
"Logística, Montagem e Transportes",https://www.elera.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Elera.png
"Logística, Montagem e Transportes",http://www.eletrosul.gov.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/33.Eletrobras_Eletrosul.png
"Logística, Montagem e Transportes",https://www.furnas.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/47.Eletrobras_Furnas.png
"Logística, Montagem e Transportes",https://www.elecnor.com.br/br,https://abeeolica.org.br/wp-content/uploads/2022/03/enerfin-logo-PT.png
"Logística, Montagem e Transportes",https://www.engie.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/ENGIE_logotype_gradient_BLUE_RGB.png
"Logística, Montagem e Transportes",http://essentiaenergia.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Essentia.png
"Logística, Montagem e Transportes",https://www.fiern.org.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/46.Fierrn.png
"Logística, Montagem e Transportes",https://www.ge.com/renewableenergy/,https://abeeolica.org.br/wp-content/uploads/2022/03/49.GE_.png
"Logística, Montagem e Transportes",https://www2.gerdau.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Gerdau-1.png
"Logística, Montagem e Transportes",https://gwind.com.br/newgwind/,https://abeeolica.org.br/wp-content/uploads/2022/03/GWIND.jpg
"Logística, Montagem e Transportes",https://www.honda.com.br/institucional/honda-energy,https://abeeolica.org.br/wp-content/uploads/2022/03/50.Honda_Energy.png
"Logística, Montagem e Transportes",http://www.iberobras.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/53.Iberobras.png
"Logística, Montagem e Transportes",http://www.inovaenergy.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/51.Inova_Energy.png
"Logística, Montagem e Transportes",https://www.rn.senai.br/isi-er/,https://abeeolica.org.br/wp-content/uploads/2022/03/ISI-ER-Logomarca.png
"Logística, Montagem e Transportes",https://www.k2management.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/55.K2_Management-1.png
"Logística, Montagem e Transportes",https://www.kintech-engineering.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Kintech_newlogo.png
"Logística, Montagem e Transportes",https://abeeolica.org.br/associados/,https://abeeolica.org.br/wp-content/uploads/2022/03/LM-ENGENHARIA.png
"Logística, Montagem e Transportes",http://www.metaltork.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/74.Metaltork.png
"Logística, Montagem e Transportes",https://www.norwind.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/81.NorWind.png
"Logística, Montagem e Transportes",https://oceanpact.com/,https://abeeolica.org.br/wp-content/uploads/2022/04/OceanPact.png
"Logística, Montagem e Transportes",https://omegaenergia.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo_1x1.png
"Logística, Montagem e Transportes",https://www.ormazabal.com/br,https://abeeolica.org.br/wp-content/uploads/2022/03/68.Ormazabal.png
"Logística, Montagem e Transportes",https://www.pan-energy.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/Logo-PAE.jpg
"Logística, Montagem e Transportes",http://www.papyrusconsultoria.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Papyrus-Consultoria-Ambiental.jpg
"Logística, Montagem e Transportes",http://www.renobrax.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/43.Renobrax.png
"Logística, Montagem e Transportes",http://ri.renovaenergia.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/44.Renova.png
"Logística, Montagem e Transportes",https://rioenergy.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/42.Rio_Energy.png
"Logística, Montagem e Transportes",https://www.rudloff.com.br/wind/,https://abeeolica.org.br/wp-content/uploads/2022/03/Rudloff.JPG.png
"Logística, Montagem e Transportes",https://www.semikron.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/79.Semikron.png
"Logística, Montagem e Transportes",http://www.gruposerveng.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/SERVENG-ADAPTADO.png
"Logística, Montagem e Transportes",https://sete-institucional.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/sete-solucoes.png
"Logística, Montagem e Transportes",https://br.sowitec.com/pt/,https://abeeolica.org.br/wp-content/uploads/2022/03/85.Sowitec.png
"Logística, Montagem e Transportes",https://www.statkraft.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/86.Statkraft.png
"Logística, Montagem e Transportes",https://www.tecnatom.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Tecnatom.png
"Logística, Montagem e Transportes",https://www.tecnogera.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/87.Tecnogera.png
"Logística, Montagem e Transportes",https://ten.ind.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/89.Ten_.png
"Logística, Montagem e Transportes",https://www.vestas.com/en,https://abeeolica.org.br/wp-content/uploads/2022/03/94.Vestas.png
"Logística, Montagem e Transportes",https://www.voltalia.com/,https://abeeolica.org.br/wp-content/uploads/2022/03/96.Voltalia.png
"Logística, Montagem e Transportes",https://www.venergia.com.br/,https://abeeolica.org.br/wp-content/uploads/2022/03/Votorantim_Novo-1.jpg
"Logística, Montagem e Transportes",https://www.weg.net/institutional/BR/pt/,https://abeeolica.org.br/wp-content/uploads/2022/03/100.WEG_-1.png
